1531356903 919126 SNAPSHOT ni1901 | 111680 111750 |   1 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111730 0 22768 M 2521604820 66628
1531357201 469222 SNAPSHOT ni1901 | 111650 111670 |   1 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111670 0 22772 M 2522051520 66624
1531357201 954193 SNAPSHOT ni1901 | 111530 111650 |   1 x   7 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111650 0 22778 M 2522721500 66626
1531357203 041237 SNAPSHOT ni1901 | 111450 111540 |   2 x  11 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111500 0 22792 M 2524282860 66632
1531357204 058662 SNAPSHOT ni1901 | 111390 111440 |   3 x  11 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111390 0 22804 M 2525620040 66638
1531357204 890241 SNAPSHOT ni1901 | 111370 111430 | 318 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 22826 M 2528070560 66648
1531357205 570240 SNAPSHOT ni1901 | 111390 111400 |   2 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111380 0 22830 M 2528516080 66652
1531357206 086191 SNAPSHOT ni1901 | 111370 111440 | 318 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111390 0 22848 M 2530521160 66658
1531357206 326155 SNAPSHOT ni1901 | 111380 111390 |   6 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111390 0 22848 M 2530521160 66658
1531357207 005304 SNAPSHOT ni1901 | 111400 111440 |   1 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111410 0 22874 M 2533418080 66668
1531357208 354243 SNAPSHOT ni1901 | 111410 111530 |   9 x  62 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111430 0 22882 M 2534309480 66672
1531357208 877243 SNAPSHOT ni1901 | 111410 111420 |   9 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111420 0 22884 M 2534532320 66672
1531357209 852236 SNAPSHOT ni1901 | 111380 111400 |   7 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111410 0 22888 M 2534977960 66676
1531357210 157238 SNAPSHOT ni1901 | 111390 111410 |   1 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111390 0 22894 M 2535646340 66676
1531357210 505241 SNAPSHOT ni1901 | 111400 111430 |   7 x   5 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111410 0 22898 M 2536091980 66674
1531357210 904234 SNAPSHOT ni1901 | 111410 111440 |   1 x   6 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111430 0 22910 M 2537429140 66668
1531357211 296257 SNAPSHOT ni1901 | 111400 111440 |   3 x   4 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111430 0 22910 M 2537429140 66668
1531357213 002256 SNAPSHOT ni1901 | 111410 111500 |  13 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111440 0 22926 M 2539212160 66680
1531357213 148191 SNAPSHOT ni1901 | 111420 111490 |   3 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111440 0 22926 M 2539212160 66680
1531357213 759179 SNAPSHOT ni1901 | 111440 111490 |   3 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111440 0 22926 M 2539212160 66680
1531357214 014048 SNAPSHOT ni1901 | 111450 111490 |   7 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111440 0 22926 M 2539212160 66680
1531357214 302180 SNAPSHOT ni1901 | 111450 111500 |   4 x   4 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111440 0 22928 M 2539435040 66680
1531357215 088185 SNAPSHOT ni1901 | 111450 111490 |   4 x   5 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111440 0 22928 M 2539435040 66680
